uptime=3362.60 [s], total pulses=85, cpm=(0.00, 1.50) [1/min]
uptime=3385.70 [s], total pulses=86, cpm=(0.02, 1.52) [1/min]
uptime=3434.80 [s], total pulses=87, cpm=(0.00, 1.50) [1/min]
uptime=3452.00 [s], total pulses=88, cpm=(0.00, 1.51) [1/min]
uptime=3452.00 [s], total pulses=89, cpm=(0.00, 1.51) [1/min]
uptime=3497.10 [s], total pulses=90, cpm=(0.00, 1.53) [1/min]
uptime=3545.80 [s], total pulses=91, cpm=(0.00, 1.52) [1/min]
uptime=3591.00 [s], total pulses=92, cpm=(0.00, 1.52) [1/min]
uptime=3591.00 [s], total pulses=93, cpm=(0.00, 1.52) [1/min]
uptime=3598.40 [s], total pulses=94, cpm=(0.00, 1.55) [1/min]
uptime=3603.10 [s], total pulses=95, cpm=(0.00, 1.57) [1/min]
uptime=3603.50 [s], total pulses=96, cpm=(0.62, 1.58) [1/min]
uptime=3603.50 [s], total pulses=97, cpm=(0.62, 1.58) [1/min]
uptime=3615.60 [s], total pulses=99, cpm=(0.02, 1.63) [1/min]
uptime=3622.70 [s], total pulses=100, cpm=(0.00, 1.64) [1/min]
uptime=3673.30 [s], total pulses=101, cpm=(0.00, 1.63) [1/min]
uptime=3673.30 [s], total pulses=102, cpm=(0.00, 1.63) [1/min]
uptime=3731.50 [s], total pulses=103, cpm=(0.00, 1.64) [1/min]
uptime=3734.50 [s], total pulses=104, cpm=(0.00, 1.65) [1/min]
uptime=3745.70 [s], total pulses=105, cpm=(0.00, 1.67) [1/min]
uptime=3794.50 [s], total pulses=106, cpm=(0.00, 1.66) [1/min]
uptime=3859.40 [s], total pulses=107, cpm=(0.00, 1.65) [1/min]
uptime=3880.10 [s], total pulses=108, cpm=(0.00, 1.65) [1/min]
uptime=3948.10 [s], total pulses=109, cpm=(0.00, 1.64) [1/min]
uptime=3948.10 [s], total pulses=110, cpm=(0.00, 1.64) [1/min]
uptime=3982.50 [s], total pulses=111, cpm=(0.00, 1.66) [1/min]
uptime=3987.80 [s], total pulses=112, cpm=(0.00, 1.67) [1/min]
uptime=4043.90 [s], total pulses=113, cpm=(0.00, 1.66) [1/min]
uptime=4111.60 [s], total pulses=114, cpm=(0.00, 1.65) [1/min]
uptime=4111.60 [s], total pulses=115, cpm=(0.00, 1.65) [1/min]
uptime=4151.00 [s], total pulses=116, cpm=(0.00, 1.66) [1/min]
uptime=4151.00 [s], total pulses=117, cpm=(0.00, 1.66) [1/min]
uptime=4167.40 [s], total pulses=118, cpm=(0.00, 1.68) [1/min]
uptime=4183.60 [s], total pulses=119, cpm=(0.00, 1.69) [1/min]
uptime=4381.00 [s], total pulses=120, cpm=(0.00, 1.63) [1/min]
uptime=4472.30 [s], total pulses=121, cpm=(0.00, 1.61) [1/min]
uptime=4553.00 [s], total pulses=122, cpm=(0.00, 1.59) [1/min]
uptime=4553.00 [s], total pulses=123, cpm=(0.00, 1.59) [1/min]
uptime=4598.80 [s], total pulses=124, cpm=(0.00, 1.60) [1/min]
uptime=4598.80 [s], total pulses=125, cpm=(0.00, 1.60) [1/min]
uptime=4627.60 [s], total pulses=127, cpm=(0.02, 1.63) [1/min]
uptime=4805.90 [s], total pulses=128, cpm=(0.00, 1.59) [1/min]
uptime=4821.80 [s], total pulses=129, cpm=(0.00, 1.59) [1/min]
uptime=4821.80 [s], total pulses=130, cpm=(0.00, 1.59) [1/min]
uptime=4826.60 [s], total pulses=131, cpm=(0.00, 1.62) [1/min]
uptime=4831.20 [s], total pulses=132, cpm=(0.00, 1.63) [1/min]
uptime=4831.30 [s], total pulses=133, cpm=(0.05, 1.65) [1/min]
uptime=4904.90 [s], total pulses=134, cpm=(0.00, 1.63) [1/min]
uptime=4927.90 [s], total pulses=135, cpm=(0.00, 1.63) [1/min]
uptime=4934.30 [s], total pulses=136, cpm=(0.00, 1.64) [1/min]
uptime=4981.20 [s], total pulses=137, cpm=(0.00, 1.64) [1/min]
uptime=4981.20 [s], total pulses=138, cpm=(0.00, 1.64) [1/min]
uptime=5081.50 [s], total pulses=140, cpm=(0.02, 1.64) [1/min]
uptime=5120.70 [s], total pulses=141, cpm=(0.00, 1.64) [1/min]
uptime=5138.10 [s], total pulses=142, cpm=(0.00, 1.65) [1/min]
uptime=5140.80 [s], total pulses=143, cpm=(0.00, 1.66) [1/min]
uptime=5140.80 [s], total pulses=144, cpm=(0.00, 1.66) [1/min]
uptime=5148.20 [s], total pulses=145, cpm=(0.00, 1.68) [1/min]
uptime=5148.20 [s], total pulses=146, cpm=(0.00, 1.68) [1/min]
uptime=5288.70 [s], total pulses=147, cpm=(0.00, 1.66) [1/min]
uptime=5424.40 [s], total pulses=148, cpm=(0.00, 1.63) [1/min]
uptime=5461.50 [s], total pulses=149, cpm=(0.00, 1.63) [1/min]
uptime=5467.40 [s], total pulses=150, cpm=(0.00, 1.64) [1/min]
uptime=5522.20 [s], total pulses=151, cpm=(0.00, 1.63) [1/min]
uptime=5522.20 [s], total pulses=152, cpm=(0.00, 1.63) [1/min]
uptime=5551.00 [s], total pulses=153, cpm=(0.00, 1.64) [1/min]
uptime=5559.80 [s], total pulses=154, cpm=(0.00, 1.65) [1/min]
uptime=5559.80 [s], total pulses=155, cpm=(0.00, 1.65) [1/min]
uptime=5612.00 [s], total pulses=156, cpm=(0.00, 1.66) [1/min]
uptime=5612.00 [s], total pulses=157, cpm=(0.00, 1.66) [1/min]
uptime=5644.80 [s], total pulses=159, cpm=(0.02, 1.68) [1/min]
uptime=5745.60 [s], total pulses=160, cpm=(0.00, 1.66) [1/min]
uptime=5763.40 [s], total pulses=161, cpm=(0.00, 1.67) [1/min]
uptime=5842.40 [s], total pulses=162, cpm=(0.00, 1.65) [1/min]
uptime=5880.30 [s], total pulses=163, cpm=(0.00, 1.65) [1/min]
uptime=6032.50 [s], total pulses=164, cpm=(0.00, 1.62) [1/min]
uptime=6032.50 [s], total pulses=165, cpm=(0.00, 1.62) [1/min]
uptime=6032.90 [s], total pulses=166, cpm=(1.32, 1.64) [1/min]
uptime=6044.50 [s], total pulses=167, cpm=(0.00, 1.65) [1/min]
uptime=6044.70 [s], total pulses=168, cpm=(0.33, 1.66) [1/min]
uptime=6044.70 [s], total pulses=169, cpm=(0.33, 1.66) [1/min]
uptime=6059.80 [s], total pulses=170, cpm=(0.00, 1.67) [1/min]
uptime=6075.40 [s], total pulses=171, cpm=(0.00, 1.68) [1/min]
uptime=6088.00 [s], total pulses=172, cpm=(0.00, 1.69) [1/min]
uptime=6115.60 [s], total pulses=173, cpm=(0.00, 1.69) [1/min]
uptime=6212.00 [s], total pulses=174, cpm=(0.00, 1.67) [1/min]
uptime=6375.90 [s], total pulses=175, cpm=(0.00, 1.64) [1/min]
uptime=6377.90 [s], total pulses=176, cpm=(0.00, 1.65) [1/min]
uptime=6383.10 [s], total pulses=177, cpm=(0.00, 1.65) [1/min]
uptime=6383.10 [s], total pulses=178, cpm=(0.00, 1.65) [1/min]
uptime=6482.70 [s], total pulses=179, cpm=(0.00, 1.65) [1/min]
uptime=6482.70 [s], total pulses=180, cpm=(0.00, 1.65) [1/min]
uptime=6498.30 [s], total pulses=181, cpm=(0.00, 1.66) [1/min]
uptime=6521.80 [s], total pulses=182, cpm=(0.00, 1.67) [1/min]
uptime=6521.80 [s], total pulses=183, cpm=(0.00, 1.67) [1/min]
uptime=6584.90 [s], total pulses=184, cpm=(0.00, 1.67) [1/min]
uptime=6609.90 [s], total pulses=185, cpm=(0.00, 1.67) [1/min]
uptime=6653.50 [s], total pulses=186, cpm=(0.00, 1.67) [1/min]
uptime=6661.70 [s], total pulses=187, cpm=(0.02, 1.68) [1/min]
uptime=6662.50 [s], total pulses=188, cpm=(1.35, 1.68) [1/min]
uptime=6674.80 [s], total pulses=189, cpm=(0.00, 1.69) [1/min]
uptime=6711.70 [s], total pulses=190, cpm=(0.00, 1.69) [1/min]
uptime=6729.30 [s], total pulses=191, cpm=(0.00, 1.69) [1/min]
uptime=6739.60 [s], total pulses=192, cpm=(0.02, 1.71) [1/min]
uptime=6743.00 [s], total pulses=193, cpm=(0.02, 1.72) [1/min]
uptime=6849.00 [s], total pulses=194, cpm=(0.00, 1.69) [1/min]
uptime=6895.40 [s], total pulses=195, cpm=(0.02, 1.70) [1/min]
uptime=6939.20 [s], total pulses=196, cpm=(0.00, 1.69) [1/min]
uptime=7004.00 [s], total pulses=197, cpm=(0.00, 1.68) [1/min]
uptime=7040.90 [s], total pulses=198, cpm=(0.00, 1.68) [1/min]
uptime=7053.80 [s], total pulses=199, cpm=(0.00, 1.68) [1/min]
uptime=7081.40 [s], total pulses=200, cpm=(0.00, 1.69) [1/min]
uptime=7123.90 [s], total pulses=201, cpm=(0.00, 1.68) [1/min]
uptime=7139.30 [s], total pulses=202, cpm=(0.00, 1.69) [1/min]
uptime=7162.70 [s], total pulses=203, cpm=(0.00, 1.69) [1/min]
uptime=7162.70 [s], total pulses=204, cpm=(0.00, 1.69) [1/min]
uptime=7177.30 [s], total pulses=205, cpm=(0.00, 1.71) [1/min]
uptime=7222.10 [s], total pulses=206, cpm=(0.00, 1.70) [1/min]
uptime=7231.80 [s], total pulses=207, cpm=(0.00, 1.71) [1/min]
uptime=7231.80 [s], total pulses=208, cpm=(0.00, 1.71) [1/min]
uptime=7279.20 [s], total pulses=209, cpm=(0.00, 1.71) [1/min]
uptime=7299.70 [s], total pulses=210, cpm=(0.00, 1.72) [1/min]
uptime=7347.00 [s], total pulses=211, cpm=(0.00, 1.71) [1/min]
uptime=7347.00 [s], total pulses=212, cpm=(0.00, 1.71) [1/min]
uptime=7361.90 [s], total pulses=213, cpm=(0.00, 1.73) [1/min]
uptime=7361.90 [s], total pulses=214, cpm=(0.00, 1.73) [1/min]
uptime=7380.70 [s], total pulses=215, cpm=(0.00, 1.74) [1/min]
uptime=7389.40 [s], total pulses=216, cpm=(0.00, 1.75) [1/min]
uptime=7391.70 [s], total pulses=217, cpm=(0.00, 1.75) [1/min]
uptime=7408.30 [s], total pulses=218, cpm=(0.00, 1.76) [1/min]
uptime=7416.80 [s], total pulses=219, cpm=(0.00, 1.76) [1/min]
uptime=7481.90 [s], total pulses=220, cpm=(0.00, 1.76) [1/min]
uptime=7521.60 [s], total pulses=221, cpm=(0.00, 1.75) [1/min]
uptime=7564.30 [s], total pulses=222, cpm=(0.02, 1.76) [1/min]
uptime=7643.40 [s], total pulses=223, cpm=(0.00, 1.74) [1/min]
uptime=7736.00 [s], total pulses=224, cpm=(0.00, 1.73) [1/min]
uptime=7760.20 [s], total pulses=225, cpm=(0.00, 1.73) [1/min]
uptime=7888.10 [s], total pulses=227, cpm=(0.02, 1.72) [1/min]
uptime=7912.00 [s], total pulses=228, cpm=(0.02, 1.73) [1/min]
uptime=7915.90 [s], total pulses=229, cpm=(0.00, 1.73) [1/min]
uptime=7915.90 [s], total pulses=230, cpm=(0.00, 1.73) [1/min]
uptime=7923.40 [s], total pulses=231, cpm=(0.00, 1.74) [1/min]
uptime=7936.50 [s], total pulses=232, cpm=(0.00, 1.75) [1/min]
uptime=7955.80 [s], total pulses=233, cpm=(0.00, 1.75) [1/min]
uptime=7986.60 [s], total pulses=234, cpm=(0.00, 1.75) [1/min]
uptime=8021.90 [s], total pulses=235, cpm=(0.00, 1.75) [1/min]
uptime=8071.70 [s], total pulses=236, cpm=(0.00, 1.75) [1/min]
uptime=8134.10 [s], total pulses=237, cpm=(0.00, 1.74) [1/min]
uptime=8262.70 [s], total pulses=238, cpm=(0.00, 1.72) [1/min]
